"city_id","city_name","city_alternate_name","city_lat","city_lng"
"2075432","Bunbury","Bunbury","-33.32711","115.64137"
"2077579","Armadale","Armadale","-32.14607","116.00930"
"2077895","Alice Springs","Alice Springs","-23.69748","133.88362"
"2077963","Albany","Albany","-35.00310","117.86595"
"2078025","Adelaide","Adelaide","-34.92866","138.59863"
"2078127","Flying Fish Cove","Flying Fish Cove","-10.42172","105.67912"
"2081986","Palikir - National Government Center","Palikir - National Government Center","6.92477","158.16109"
"2082600","Jayapura","Jayapura","-2.53371","140.71813"
"2082727","Abepura","Abepura","-2.59640","140.63240"
"2083537","Wewak","Wewak","-3.54964","143.63229"
"2088122","Port Moresby","Port Moresby","-9.44314","147.17972"
"2088163","Popondetta","Popondetta","-8.76536","148.23252"
"2090409","Mount Hagen","Mount Hagen","-5.85746","144.23058"
"2090990","Mendi","Mendi","-6.14755","143.65633"
"2091996","Madang","Madang","-5.21639","145.79870"
"2092740","Lae","Lae","-6.72208","146.98469"
"2093685","Kokopo","Kokopo","-4.35202","152.26327"
"2093967","Kimbe","Kimbe","-5.55085","150.13766"
"2096742","Goroka","Goroka","-6.08336","145.38735"
"2098329","Daru","Daru","-9.07786","143.20893"
"2098869","Bulolo","Bulolo","-7.20360","146.64014"
"2100633","Arawa","Arawa","-6.22977","155.56598"
"2108502","Honiara","Honiara","-9.43333","159.95000"
"2110257","Tarawa","Tarawa","1.32780","172.97696"
"2110394","Funafuti","Funafuti","-8.52425","179.19417"
"2110460","Yuzawa","Yuzawa","39.16667","140.50000"
"2110480","Yotsukaido","Yotsukaido","35.65000","140.16667"
"2110498","Yonezawa","Yonezawa","37.91000","140.11667"
"2110506","Yokotemachi","Yokotemachi","39.31691","140.55034"
"2110518","Yokaichiba","Yokaichiba","35.70000","140.55000"
"2110538","Yanagawamachi-saiwaicho","Yanagawamachi-saiwaicho","37.85000","140.60000"
"2110541","Yamoto","Yamoto","38.42738","141.21487"
"2110556","Yamagata","Yamagata","38.23333","140.36667"
"2110560","Yamada","Yamada","39.46667","141.95000"
"2110579","Yachimata","Yachimata","35.65000","140.31667"
"2110586","Watari","Watari","38.03500","140.85111"
"2110596","Wakuya","Wakuya","38.54465","141.13461"
"2110629","Ushiku","Ushiku","35.96667","140.13333"
"2110683","Tsukuba","Tsukuba","36.20000","140.10000"
"2110729","Toride","Toride","35.90000","140.08333"
"2110735","Tono","Tono","39.31667","141.53333"
"2110743","Tomobe","Tomobe","36.35000","140.30000"
"2110744","Tomiya","Tomiya","38.39306","140.88611"
"2110774","Togane","Togane","35.55000","140.36667"
"2110793","Tendo","Tendo","38.35361","140.36972"
"2110891","Takahata","Takahata","38.00250","140.19111"
"2110893","Takahagi","Takahagi","36.71667","140.71667"
"2110959","Sukagawa","Sukagawa","37.28333","140.38333"
"2110994","Shizukuishi","Shizukuishi","39.69414","140.98442"
"2111008","Shisui","Shisui","35.71667","140.26667"
"2111016","Shiroishi","Shiroishi","38.00333","140.61833"
"2111018","Shiroi","Shiroi","35.80000","140.06667"
"2111049","Shiogama","Shiogama","38.31667","141.03333"
"2111065","Shinjo","Shinjo","38.75861","140.30083"
"2111149","Sendai","Sendai","38.26667","140.86667"
"2111173","Sawara","Sawara","35.88333","140.50000"
"2111220","Sakura","Sakura","35.71667","140.23333"
"2111248","Sagae","Sagae","38.37250","140.27250"
"2111258","Ryugasaki","Ryugasaki","35.90000","140.18333"
"2111277","Rifu","Rifu","38.33092","140.97691"
"2111310","Otsuchi","Otsuchi","39.36667","141.90000"
"2111325","Otawara","Otawara","36.86667","140.03333"
"2111425","Omiya","Omiya","36.55000","140.41667"
"2111429","Omigawa","Omigawa","35.85000","140.61667"
"2111435","Omagari","Omagari","39.45000","140.48333"
"2111441","Okunoya","Okunoya","36.28333","140.41667"
"2111461","Okawara","Okawara","38.05000","140.73361"
"2111495","Ohara","Ohara","35.24761","140.39289"
"2111530","Ofunato","Ofunato","39.07167","141.71667"
"2111559","Obanazawa","Obanazawa","38.60333","140.40194"
"2111567","Oarai","Oarai","36.31409","140.58389"
"2111568","Oami","Oami","35.51667","140.31667"
"2111656","Nihommatsu","Nihommatsu","37.58333","140.43333"
"2111677","Naruto","Naruto","35.60000","140.41667"
"2111684","Narita","Narita","35.78333","140.31667"
"2111704","Namie","Namie","37.48333","141.00000"
"2111749","Naka","Naka","36.05000","140.16667"
"2111781","Nagai","Nagai","38.10361","140.03500"
"2111824","Motomiya","Motomiya","37.51391","140.40063"
"2111827","Motegi","Motegi","36.51667","140.18333"
"2111831","Moriya","Moriya","35.93333","140.00000"
"2111834","Morioka","Morioka","39.70000","141.15000"
"2111836","Mooka","Mooka","36.43333","140.01667"
"2111855","Mobara","Mobara","35.42583","140.29608"
"2111859","Mizusawa","Mizusawa","39.13333","141.13333"
"2111884","Miyako","Miyako","39.64691","141.94057"
"2111901","Mito","Mito","36.35000","140.45000"
"2111943","Miharu","Miharu","37.43333","140.48333"
"2111964","Matsushima","Matsushima","38.37357","141.06105"
"2111999","Mashiko","Mashiko","36.46667","140.10000"
"2112008","Marumori","Marumori","37.91667","140.76667"
"2112019","Makabe","Makabe","36.26667","140.10000"
"2112077","Kuroiso","Kuroiso","36.96667","140.05000"
"2112141","Koriyama","Koriyama","37.40000","140.38333"
"2112182","Kogota","Kogota","38.55000","141.05000"
"2112227","Kitakami","Kitakami","39.28333","141.11667"
"2112232","Kitaibaraki","Kitaibaraki","36.78671","140.74901"
"2112297","Kamogawa","Kamogawa","35.09690","140.10030"
"2112309","Katsuura","Katsuura","35.14621","140.31507"
